col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81,col_82,col_83,col_84,col_85,col_86,col_87,col_88,col_89,col_90,col_91,col_92,col_93,col_94,col_95,col_96,col_97,col_98,col_99,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111
0,37,2,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,13,0,0,0,0,0,1,5,14,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,928.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,231,0,2,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28,2,4,0,0,1,1,0,0,0,0,0,0,3,0,56,0,0,2,2,0,0,3,0,7,0,28,2,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,146.257142857,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,13
0,413,0,3,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,2,3,0,0,1,2,9,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,934.086734694,196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
0,33,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60
0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,6,0,29,0,0,0,4,1,0,0,0,3,2,6,0,0,0,0,32,4,0,0,0,0,3,1,0,2,2,6,1,151666.235294,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2536,0,9,0,2,2,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,226,10,23,0,2,1,191,6,3,0,0,0,0,22,70,802,0,0,34,4,0,0,0,0,186,7,334,68,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,342.235294118,204,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,351
4,455,2,3,0,0,7,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,33,5,2,0,0,1,1,0,0,0,0,0,0,27,0,669,0,0,2,8,0,0,0,0,23,3,20,29,0,0,0,694,17,0,28,0,2,4,0,0,21,3,11,1,16088.7957317,328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15
57,2910,0,2,0,1,0,57,0,0,0,0,0,0,1,0,1,0,0,0,0,0,80,354,2,0,0,0,1,1,184,0,0,0,0,0,40,0,1740,0,0,0,1,0,0,0,0,211,4,35,0,0,0,0,1557,23,0,0,0,0,1,0,0,195,1,33,221,77048.4328358,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45
0,25,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,575,0,5,0,0,-1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,75,4,0,3,0,1,2,3,0,0,0,0,0,4,0,40,0,0,0,5,0,0,0,0,9,0,4,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1101.59259259,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,21
0,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
